Sample in Buffer,Sample in Window,TRIGGER,SPI_CLK_OBUF,State_copy[8:0],SPI_RESET_OBUF,SPI_MOSI_OBUF,SPI_MISO_IBUF,data_input[7:0],data_output[7:0],rw_flag[1:0],SPI_CS_OBUF,TrigerEvent,SPI_gen_CLK
547,547,0,0,60,1,0,1,00,00,1,0,1,0
548,548,0,1,61,1,0,1,00,00,1,0,1,1
549,549,0,1,61,1,0,1,00,00,1,0,1,0
550,550,0,1,62,1,0,1,00,00,1,0,1,1
551,551,0,1,62,1,0,1,00,00,1,0,1,0
552,552,0,0,63,1,0,1,00,00,1,0,1,1
553,553,0,0,63,1,0,1,00,00,1,0,1,0
554,554,0,0,64,1,0,1,00,00,1,0,1,1
555,555,0,0,64,1,0,1,00,00,1,0,1,0
556,556,0,1,65,1,0,1,00,00,1,0,1,1
557,557,0,1,65,1,0,1,00,00,1,0,1,0
558,558,0,1,66,1,0,1,00,00,1,0,1,1
559,559,0,1,66,1,0,1,00,00,1,0,1,0
560,560,0,0,67,1,0,1,00,00,1,0,1,1
561,561,0,0,67,1,0,1,00,00,1,0,1,0
562,562,0,0,68,1,0,1,00,00,1,0,1,1
563,563,0,0,68,1,0,1,00,00,1,0,1,0
564,564,0,0,69,1,0,1,00,00,1,1,1,1
565,565,0,0,69,1,0,1,00,00,1,1,1,0
566,566,0,0,70,1,0,1,00,00,1,1,1,1
567,567,0,0,70,1,0,1,00,00,1,1,1,0
568,568,0,0,0,1,0,1,00,00,1,1,1,1
569,569,0,0,0,1,0,1,00,00,1,1,1,0
570,570,0,0,1,1,0,1,00,00,1,1,1,1
571,571,0,0,1,1,0,1,00,00,1,1,1,0
572,572,0,0,2,1,0,1,00,00,1,1,1,1
573,573,0,0,2,1,0,1,00,00,1,1,1,0
574,574,0,0,3,1,0,1,00,00,1,0,1,1
575,575,0,0,3,1,0,1,00,00,1,0,1,0
576,576,0,0,4,1,0,1,00,00,1,0,1,1
577,577,0,0,4,1,0,1,00,00,1,0,1,0
578,578,0,1,5,1,0,1,00,00,1,0,1,1
579,579,0,1,5,1,0,1,00,00,1,0,1,0
580,580,0,1,6,1,0,1,00,00,1,0,1,1
581,581,0,1,6,1,0,1,00,00,1,0,1,0
582,582,0,0,7,1,0,1,00,00,1,0,1,1
583,583,0,0,7,1,0,1,00,00,1,0,1,0
584,584,0,0,8,1,0,1,00,00,1,0,1,1
585,585,0,0,8,1,0,1,00,00,1,0,1,0
586,586,0,1,9,1,0,1,00,00,1,0,1,1
587,587,0,1,9,1,0,1,00,00,1,0,1,0
588,588,0,1,10,1,0,1,00,00,1,0,1,1
589,589,0,1,10,1,0,1,00,00,1,0,1,0
590,590,0,0,11,1,0,1,00,00,1,0,1,1
591,591,0,0,11,1,0,1,00,00,1,0,1,0
592,592,0,0,12,1,0,1,00,00,1,0,1,1
593,593,0,0,12,1,0,1,00,00,1,0,1,0
594,594,0,1,13,1,0,1,00,00,1,0,1,1
595,595,0,1,13,1,0,1,00,00,1,0,1,0
596,596,0,1,14,1,0,1,00,00,1,0,1,1
597,597,0,1,14,1,0,1,00,00,1,0,1,0
598,598,0,0,15,1,1,1,00,00,1,0,1,1
599,599,0,0,15,1,1,1,00,00,1,0,1,0
600,600,0,0,16,1,1,1,00,00,1,0,1,1
601,601,0,0,16,1,1,1,00,00,1,0,1,0
602,602,0,1,17,1,1,1,00,00,1,0,1,1
603,603,0,1,17,1,1,1,00,00,1,0,1,0
604,604,0,1,18,1,1,1,00,00,1,0,1,1
605,605,0,1,18,1,1,1,00,00,1,0,1,0
606,606,0,0,19,1,0,1,00,00,1,0,1,1
607,607,0,0,19,1,0,1,00,00,1,0,1,0
608,608,0,0,20,1,0,1,00,00,1,0,1,1
609,609,0,0,20,1,0,1,00,00,1,0,1,0
610,610,0,1,21,1,0,1,00,00,1,0,1,1
611,611,0,1,21,1,0,1,00,00,1,0,1,0
612,612,0,1,22,1,0,1,00,00,1,0,1,1
613,613,0,1,22,1,0,1,00,00,1,0,1,0
614,614,0,0,23,1,0,1,00,00,1,0,1,1
615,615,0,0,23,1,0,1,00,00,1,0,1,0
616,616,0,0,24,1,0,1,00,00,1,0,1,1
617,617,0,0,24,1,0,1,00,00,1,0,1,0
618,618,0,1,25,1,0,1,00,00,1,0,1,1
619,619,0,1,25,1,0,1,00,00,1,0,1,0
620,620,0,1,26,1,0,1,00,00,1,0,1,1
621,621,0,1,26,1,0,1,00,00,1,0,1,0
622,622,0,0,27,1,1,1,00,00,1,0,1,1
623,623,0,0,27,1,1,1,00,00,1,0,1,0
624,624,0,0,28,1,1,1,00,00,1,0,1,1
625,625,0,0,28,1,1,1,00,00,1,0,1,0
626,626,0,1,29,1,1,1,00,00,1,0,1,1
627,627,0,1,29,1,1,1,00,00,1,0,1,0
628,628,0,1,30,1,1,1,00,00,1,0,1,1
629,629,0,1,30,1,1,1,00,00,1,0,1,0
630,630,0,0,31,1,0,1,00,00,1,0,1,1
631,631,0,0,31,1,0,1,00,00,1,0,1,0
632,632,0,0,32,1,0,1,00,00,1,0,1,1
633,633,0,0,32,1,0,1,00,00,1,0,1,0
634,634,0,1,33,1,0,1,00,00,1,0,1,1
635,635,0,1,33,1,0,1,00,00,1,0,1,0
636,636,0,1,34,1,0,1,00,00,1,0,1,1
637,637,0,1,34,1,0,1,00,00,1,0,1,0
638,638,0,0,35,1,0,1,00,00,1,0,1,1
639,639,0,0,35,1,0,1,00,00,1,0,1,0
640,640,0,0,36,1,0,1,00,00,1,0,1,1
641,641,0,0,36,1,0,1,00,00,1,0,1,0
642,642,0,1,37,1,0,1,00,00,1,0,1,1
643,643,0,1,37,1,0,1,00,00,1,0,1,0
644,644,0,1,38,1,0,1,00,00,1,0,1,1
645,645,0,1,38,1,0,1,00,00,1,0,1,0
646,646,0,0,39,1,0,1,00,00,1,0,1,1
647,647,0,0,39,1,0,1,00,00,1,0,1,0
648,648,0,0,40,1,0,1,00,00,1,0,1,1
649,649,0,0,40,1,0,1,00,00,1,0,1,0
650,650,0,1,41,1,0,1,00,00,1,0,1,1
651,651,0,1,41,1,0,1,00,00,1,0,1,0
652,652,0,1,42,1,0,1,00,00,1,0,1,1
653,653,0,1,42,1,0,1,00,00,1,0,1,0
654,654,0,0,43,1,0,1,00,00,1,0,1,1
655,655,0,0,43,1,0,1,00,00,1,0,1,0
656,656,0,0,44,1,0,1,00,00,1,0,1,1
657,657,0,0,44,1,0,1,00,00,1,0,1,0
658,658,0,1,45,1,0,1,00,00,1,0,1,1
659,659,0,1,45,1,0,1,00,00,1,0,1,0
660,660,0,1,46,1,0,1,00,00,1,0,1,1
661,661,0,1,46,1,0,1,00,00,1,0,1,0
662,662,0,0,47,1,0,1,00,00,1,0,1,1
663,663,0,0,47,1,0,1,00,00,1,0,1,0
664,664,0,0,48,1,0,1,00,00,1,0,1,1
665,665,0,0,48,1,0,1,00,00,1,0,1,0
666,666,0,1,49,1,0,1,00,00,1,0,1,1
667,667,0,1,49,1,0,1,00,00,1,0,1,0
668,668,0,1,50,1,0,1,00,00,1,0,1,1
669,669,0,1,50,1,0,1,00,00,1,0,1,0
670,670,0,0,51,1,0,1,00,00,1,0,1,1
671,671,0,0,51,1,0,1,00,00,1,0,1,0
672,672,0,0,52,1,0,1,00,00,1,0,1,1
673,673,0,0,52,1,0,1,00,00,1,0,1,0
674,674,0,1,53,1,0,1,00,00,1,0,1,1
675,675,0,1,53,1,0,1,00,00,1,0,1,0
676,676,0,1,54,1,0,1,00,00,1,0,1,1
677,677,0,1,54,1,0,1,00,00,1,0,1,0
678,678,0,0,55,1,0,1,00,00,1,0,1,1
679,679,0,0,55,1,0,1,00,00,1,0,1,0
